day,hour,seat_loc,성별,나이,행동,복장,이어폰여부,내리는역,좌석위치,연령대,count
2017-09-05,08:35,0,여자,20,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,청년,1
2017-09-05,08:35,1,여자,30,생각중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-05,08:35,2,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,중앙,청년,1
2017-09-05,08:35,3,남자,40,책읽기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-05,08:35,4,여자,60,책읽기,세미정장,이어폰:X,강남역,중앙,장년,1
2017-09-05,08:35,5,여자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-09-05,08:35,6,여자,50,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-07-27,08:35,0,남자,30,생각중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-07-27,08:35,1,여자,30,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-27,08:35,2,남자,40,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-07-27,08:35,3,남자,40,잠자는중,정장,이어폰:X,강남역,중앙,중년,1
2017-07-27,08:35,4,여자,40,잠자는중,세미정장,이어폰:X,판교/정자역,중앙,중년,1
2017-07-27,08:35,5,남자,60,생각중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-07-27,08:35,6,남자,40,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-08-18,08:35,0,남자,40,잠자는중,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-18,08:35,1,여자,30,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-18,08:35,2,여자,30,잠자는중,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-08-18,08:35,3,여자,30,토크,정장,이어폰:X,강남역,중앙,중년,1
2017-08-18,08:35,4,여자,20,토크,정장,이어폰:X,강남역,중앙,청년,1
2017-08-18,08:35,5,남자,30,토크,정장,이어폰:X,강남역,우측:사이드,중년,1
2017-08-18,08:35,6,여자,20,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,청년,1
2017-09-11,08:30,0,남자,40,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-09-11,08:30,1,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-09-11,08:30,2,여자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,중년,1
2017-09-11,08:30,3,남자,30,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-11,08:30,4,남자,10,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,청년,1
2017-09-11,08:30,5,남자,10,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,청년,1
2017-09-11,08:30,6,여자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-09-12,08:07,0,여자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-12,08:07,1,남자,40,핸드폰보기,세미정장,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-09-12,08:07,2,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-12,08:07,3,남자,40,핸드폰보기,세미정장,이어폰:O,강남역,중앙,중년,1
2017-09-12,08:07,4,남자,40,잠자는중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-12,08:07,5,여자,30,잠자는중,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-09-12,08:07,6,여자,60,토크,평상복,이어폰:X,강남역,우측:사이드,장년,1
2017-09-19,08:28,0,남자,40,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-19,08:28,1,남자,40,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-19,08:28,2,여자,30,책읽기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-19,08:28,3,남자,40,생각중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-19,08:28,4,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-19,08:28,5,여자,40,잠자는중,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-09-19,08:28,6,여자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
